"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SpiderManMovie: Forget #BlackFriday, the perfect gift awaits on Spider-Monday! Tickets for #SpiderManNoWayHome go on sale Monday, Novem…",FALSE,0,NA,2021-11-27 12:27:58,FALSE,NA,"1464571702273351681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scorpiya",2527,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:27:56,FALSE,NA,"1464571691103752197",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaranGokulsing",6191,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:27:53,FALSE,NA,"1464571680706248705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JurassicJames1",6191,TRUE,FALSE,NA,NA
"RT @Marvel: Forget #BlackFriday, the perfect gift awaits on Spider-Monday! Tickets for #SpiderManNoWayHome go on sale Monday, November 29!…",FALSE,0,NA,2021-11-27 12:27:39,FALSE,NA,"1464571621356838917",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","just_jkk",351,TRUE,FALSE,NA,NA
"RT @SpiderMan: Forget #BlackFriday, the perfect gift awaits on Spider-Monday! Tickets for #SpiderManNoWayHome go on sale Monday, November 2…",FALSE,0,NA,2021-11-27 12:27:24,FALSE,NA,"1464571556139393026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjgheroman",350,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:27:22,FALSE,NA,"1464571550045286402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SnakeEyes9155",6191,TRUE,FALSE,NA,NA
"RT @MarvelManiac_: HOLY SHITTT!!!!
#SPIDERMANNOWAYHOME https://t.co/S57CEFAy6m",FALSE,0,NA,2021-11-27 12:27:21,FALSE,NA,"1464571544873676801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salutjsuisanais",507,TRUE,FALSE,NA,NA
"RT @DiscussingFilm: A new look at #SpiderManNoWayHome has been released. https://t.co/626ciN0fjo",FALSE,0,NA,2021-11-27 12:27:07,FALSE,NA,"1464571488070246401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","just_jkk",1590,TRUE,FALSE,NA,NA
"Yooooooo..... I can't believe I hit 400 followers thank you y'all 🥺🥺🥺❤️❤️ 
Thank you so so so muchh ❤️🥺.. if we are… https://t.co/MVNFSOOwiU",FALSE,4,NA,2021-11-27 12:27:04,TRUE,NA,"1464571473788502016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JabyFrost",1,FALSE,FALSE,NA,NA
"My Spider-Man Movie Ranking:

1. Spider-Man 2
2. Amazing Spiderman
3. Into the Spiderverse
4. Far From Home
5. Spid… https://t.co/QBtdajlHsq",FALSE,0,NA,2021-11-27 12:26:45,TRUE,NA,"1464571395095109636",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RyanHTSheppard",0,FALSE,FALSE,NA,NA
"RT @spideyupdated: New video of Jamie Foxx and Tom Holland promoting #SpiderManNoWayHome 

Tickets on sale THIS Monday! https://t.co/7p4WkS…",FALSE,0,NA,2021-11-27 12:26:36,FALSE,NA,"1464571357140852740",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gio_ramirez24",1977,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:26:33,FALSE,NA,"1464571343458951172",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Z0mbi3r0adk1ll",6191,TRUE,FALSE,NA,NA
"RT @MarvelManiac_: HOLY SHITTT!!!!
#SPIDERMANNOWAYHOME https://t.co/S57CEFAy6m",FALSE,0,NA,2021-11-27 12:26:31,FALSE,NA,"1464571334726496258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SS_soux_YT",507,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:26:29,FALSE,NA,"1464571325666766849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GrandeAdore_",6191,TRUE,FALSE,NA,NA
"RT @bigscreenleaks: Just got word that #SpiderManNoWayHome's final runtime will be 02:28:01. https://t.co/y22wA1V3Z2",FALSE,0,NA,2021-11-27 12:26:07,FALSE,NA,"1464571235157872649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dakotawbarber22",330,TRUE,FALSE,NA,NA
"RT @SonyPicturesIRL: The time is 𝗡𝗢𝗪!

For a chance to #WIN awesome #SpiderManNoWayHome merch, and tickets to the pre-screening, all you ha…",FALSE,0,NA,2021-11-27 12:26:04,FALSE,NA,"1464571223854231555",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","freddos_616",6191,TRUE,FALSE,NA,NA
"RT @spideyupdated: #SpiderManNoWayHome ‘s final runtime will be 2 hours and 28 minutes!!! (Via @bigscreenleaks) https://t.co/fITdZbT66W",FALSE,0,NA,2021-11-27 12:25:53,FALSE,NA,"1464571176177618946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RostafarianJam",196,TRUE,FALSE,NA,NA
"RT @Spider_Leaks: 90% of the #SpiderManNoWayHome’s plot is online.

(Source: @_CharlesMurphy) https://t.co/C1R836thTi",FALSE,0,NA,2021-11-27 12:25:45,FALSE,NA,"1464571144544137219",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fahadisconfused",271,TRUE,FALSE,NA,NA
